               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062519,            0.028854,            0.027481,             0.21446,             0.57285,             0.24134,            0.078292,            0.017495,           0.0098077,            0.012261,              0.0705,           0.0032778,           0.0032778
                   1,             0.04243,             0.02162,            0.025456,             0.20236,             0.56445,             0.21917,            0.065359,            0.023362,           0.0054113,            0.012039,            0.040435,           0.0065457,           0.0065457
                   2,             0.04094,            0.017508,            0.025209,              0.2563,             0.72994,             0.36246,             0.15182,            0.014838,            0.005151,            0.011855,            0.010303,           0.0097475,           0.0097475
                   3,            0.036282,            0.016062,            0.024568,             0.32192,             0.83277,             0.47267,             0.18384,            0.014866,           0.0043825,            0.011682,            0.009703,            0.009703,            0.009703
                   4,            0.033266,            0.015467,            0.025555,             0.32629,             0.95969,             0.53077,             0.27767,            0.011781,            0.004109,            0.011525,            0.009703,            0.009703,            0.009703
                   5,            0.033984,            0.015092,            0.026626,             0.31053,             0.75322,             0.38756,             0.16721,            0.012787,              0.0049,            0.011133,            0.009604,            0.009604,            0.009604
                   6,            0.029761,            0.015737,            0.025086,             0.40191,             0.87413,             0.54453,             0.31552,           0.0099222,           0.0045396,            0.010672,            0.009505,            0.009505,            0.009505
                   7,            0.030815,            0.015705,            0.026067,             0.54756,             0.79144,             0.69205,             0.36482,            0.010881,           0.0043345,             0.01045,            0.009406,            0.009406,            0.009406
                   8,            0.027118,            0.015789,            0.022693,             0.55204,             0.85624,             0.73603,             0.41436,            0.010457,            0.004328,           0.0085184,            0.009307,            0.009307,            0.009307
                   9,             0.02694,            0.015089,            0.022326,             0.57336,             0.94737,             0.74304,             0.43177,           0.0092091,           0.0042685,           0.0072318,            0.009208,            0.009208,            0.009208
                  10,            0.028273,            0.014729,            0.022273,             0.58715,             0.89496,             0.74393,             0.34903,            0.011034,           0.0043352,           0.0067087,            0.009109,            0.009109,            0.009109
                  11,            0.025342,            0.014571,            0.021555,             0.55407,             0.94811,             0.74941,             0.38473,            0.011187,            0.004222,           0.0064724,             0.00901,             0.00901,             0.00901
                  12,            0.026874,            0.014959,            0.022044,             0.65062,                   1,             0.76105,             0.41816,           0.0093349,           0.0041676,           0.0066487,            0.008911,            0.008911,            0.008911
                  13,             0.02541,             0.01394,            0.020412,             0.59229,             0.98344,             0.77859,             0.44182,            0.010009,           0.0038911,           0.0063068,            0.008812,            0.008812,            0.008812
                  14,            0.023069,            0.014075,            0.020206,             0.57622,             0.90698,             0.73646,             0.42466,           0.0089371,           0.0044011,           0.0070011,            0.008713,            0.008713,            0.008713
                  15,            0.026896,             0.01472,            0.022071,             0.59173,             0.94737,             0.79127,             0.45107,           0.0095659,           0.0041881,           0.0062995,            0.008614,            0.008614,            0.008614
                  16,            0.024581,            0.015064,            0.020663,             0.59556,             0.93498,             0.79835,             0.47252,           0.0087538,           0.0041359,            0.006164,            0.008515,            0.008515,            0.008515
                  17,            0.023799,            0.013539,              0.0195,             0.78313,             0.99123,             0.93626,             0.56135,           0.0085746,           0.0041585,           0.0049338,            0.008416,            0.008416,            0.008416
                  18,            0.024808,            0.013788,            0.019796,             0.75932,             0.94735,             0.89189,             0.52595,           0.0095654,           0.0042474,            0.004622,            0.008317,            0.008317,            0.008317
                  19,            0.025657,            0.015021,            0.021308,             0.83064,             0.93165,             0.95699,             0.57048,            0.008889,           0.0037631,           0.0044624,            0.008218,            0.008218,            0.008218
                  20,            0.023768,            0.014523,            0.017818,             0.87042,             0.99123,             0.97388,             0.59159,            0.008566,           0.0039066,           0.0032014,            0.008119,            0.008119,            0.008119
                  21,            0.025219,            0.013953,            0.018726,             0.84117,             0.95073,             0.91547,             0.56207,           0.0081849,           0.0039758,           0.0045038,             0.00802,             0.00802,             0.00802
                  22,             0.02208,            0.013462,            0.016085,             0.88881,             0.94042,             0.96431,             0.58009,           0.0097841,           0.0038571,             0.00388,            0.007921,            0.007921,            0.007921
                  23,            0.023262,             0.01364,            0.017414,             0.91204,             0.95621,             0.94483,             0.57097,           0.0088554,            0.004091,           0.0032744,            0.007822,            0.007822,            0.007822
                  24,            0.022594,            0.014367,            0.017249,             0.94709,             0.98632,             0.98692,             0.59353,           0.0087313,           0.0038181,           0.0023563,            0.007723,            0.007723,            0.007723
                  25,            0.022498,            0.014216,            0.017472,             0.88238,             0.91956,             0.96736,             0.59718,           0.0084653,           0.0037688,           0.0034167,            0.007624,            0.007624,            0.007624
                  26,            0.023132,            0.013911,            0.017427,             0.96358,             0.98214,             0.98557,             0.56498,           0.0086785,           0.0038778,           0.0022176,            0.007525,            0.007525,            0.007525
                  27,            0.022647,            0.013909,            0.016424,             0.93239,             0.95787,             0.97467,             0.61017,           0.0082607,           0.0038399,           0.0027494,            0.007426,            0.007426,            0.007426
                  28,            0.022138,            0.013613,            0.016891,             0.87316,             0.89452,             0.89814,             0.56738,            0.010821,           0.0036359,           0.0029076,            0.007327,            0.007327,            0.007327
                  29,            0.021522,            0.013472,            0.016003,              0.9664,             0.97902,             0.98589,             0.63298,            0.007956,           0.0038003,           0.0021058,            0.007228,            0.007228,            0.007228
                  30,            0.022958,            0.013408,            0.018039,             0.93849,             0.90792,              0.9684,             0.60506,           0.0083021,           0.0037988,            0.003076,            0.007129,            0.007129,            0.007129
                  31,             0.02106,            0.013246,            0.014265,             0.97151,             0.96243,             0.98312,             0.58382,           0.0094237,           0.0037185,           0.0016444,             0.00703,             0.00703,             0.00703
                  32,            0.023039,            0.013469,             0.01583,             0.95197,             0.96296,             0.97973,             0.56956,           0.0091047,           0.0038949,           0.0014348,            0.006931,            0.006931,            0.006931
                  33,            0.020519,            0.013336,            0.015093,             0.96835,             0.97861,             0.98339,             0.59757,           0.0087583,           0.0038675,           0.0015144,            0.006832,            0.006832,            0.006832
                  34,             0.02359,            0.014129,             0.01694,              0.9167,             0.95482,             0.98044,             0.61393,           0.0082545,           0.0039708,           0.0022574,            0.006733,            0.006733,            0.006733
                  35,            0.022387,             0.01349,            0.014969,             0.95844,             0.98186,             0.98902,             0.61944,           0.0081689,             0.00381,           0.0015518,            0.006634,            0.006634,            0.006634
                  36,            0.019616,             0.01405,            0.014734,             0.98146,             0.99306,             0.98837,             0.61966,           0.0078911,           0.0036945,           0.0009586,            0.006535,            0.006535,            0.006535
                  37,            0.022402,            0.013549,            0.015843,             0.98331,             0.99306,             0.99246,             0.62112,           0.0078356,           0.0037649,          0.00083722,            0.006436,            0.006436,            0.006436
                  38,            0.021994,               0.014,            0.016021,              0.9866,             0.99306,             0.99338,             0.62478,           0.0085493,            0.003867,           0.0006727,            0.006337,            0.006337,            0.006337
                  39,            0.022218,            0.013028,            0.015118,             0.98694,             0.99306,             0.99172,             0.62991,           0.0084135,           0.0038378,          0.00074501,            0.006238,            0.006238,            0.006238
                  40,            0.021753,            0.013218,            0.014922,             0.98329,             0.99306,             0.99115,             0.60101,           0.0083421,           0.0038062,          0.00076997,            0.006139,            0.006139,            0.006139
                  41,            0.021408,            0.013339,            0.014959,             0.98535,             0.99306,             0.99067,             0.62342,           0.0081933,           0.0036912,          0.00074321,             0.00604,             0.00604,             0.00604
                  42,            0.020394,            0.013789,            0.014709,             0.98139,              0.9908,             0.99072,             0.65098,           0.0078879,           0.0035307,          0.00069484,            0.005941,            0.005941,            0.005941
                  43,            0.021717,            0.013759,            0.015682,             0.97489,              0.9867,             0.99056,             0.61124,           0.0083854,           0.0036823,          0.00088341,            0.005842,            0.005842,            0.005842
                  44,            0.021497,            0.013133,            0.014786,             0.98278,             0.99306,             0.98849,             0.59448,            0.008514,           0.0039368,          0.00082549,            0.005743,            0.005743,            0.005743
                  45,            0.020923,            0.013036,            0.014313,             0.96801,             0.97917,             0.98013,             0.61802,           0.0078094,           0.0037378,           0.0013689,            0.005644,            0.005644,            0.005644
                  46,            0.020271,            0.013657,            0.014592,             0.98765,             0.99306,              0.9917,             0.62995,           0.0080769,            0.003742,          0.00062987,            0.005545,            0.005545,            0.005545
                  47,            0.019583,            0.013042,            0.013401,             0.96444,             0.98392,             0.99111,             0.63322,           0.0081609,           0.0036528,          0.00093851,            0.005446,            0.005446,            0.005446
                  48,            0.020122,            0.013383,            0.015043,             0.98744,             0.99306,             0.99095,             0.63165,           0.0080019,            0.003699,          0.00095184,            0.005347,            0.005347,            0.005347
                  49,              0.0203,            0.013071,            0.014722,             0.98791,             0.99306,             0.99231,              0.6267,           0.0078766,           0.0036975,          0.00060884,            0.005248,            0.005248,            0.005248
                  50,             0.02049,            0.013231,              0.0137,             0.98288,             0.99306,             0.99208,             0.63537,           0.0080045,           0.0035832,           0.0007956,            0.005149,            0.005149,            0.005149
                  51,            0.019668,            0.013315,            0.013802,             0.97727,               0.991,              0.9891,             0.62019,           0.0080362,           0.0035546,          0.00076369,             0.00505,             0.00505,             0.00505
                  52,            0.019793,            0.012658,            0.014088,             0.98719,             0.99306,             0.99333,              0.6437,           0.0082071,           0.0035532,          0.00053954,            0.004951,            0.004951,            0.004951
                  53,            0.019647,            0.012864,            0.012964,             0.98459,             0.99306,             0.99469,             0.66427,           0.0074472,           0.0036421,          0.00070966,            0.004852,            0.004852,            0.004852
                  54,            0.020087,            0.013263,            0.013289,             0.98766,             0.99306,             0.99287,             0.64833,            0.007838,           0.0036712,          0.00055275,            0.004753,            0.004753,            0.004753
                  55,             0.01953,            0.013104,            0.012718,             0.98298,             0.99306,             0.99345,             0.63777,           0.0079954,           0.0036913,          0.00080636,            0.004654,            0.004654,            0.004654
                  56,            0.020574,            0.013024,             0.01531,             0.98733,             0.99306,             0.99342,             0.64404,           0.0077658,           0.0036353,            0.000549,            0.004555,            0.004555,            0.004555
                  57,            0.021211,            0.013101,            0.014495,             0.98658,             0.99306,             0.99437,             0.61726,            0.007994,           0.0037694,          0.00059698,            0.004456,            0.004456,            0.004456
                  58,            0.020918,            0.013045,            0.014621,             0.98912,             0.99187,             0.99362,             0.62899,           0.0080108,           0.0037342,          0.00060212,            0.004357,            0.004357,            0.004357
                  59,             0.01948,              0.0135,            0.012439,             0.98067,             0.99255,             0.99156,             0.63398,           0.0077787,           0.0037888,          0.00069147,            0.004258,            0.004258,            0.004258
                  60,            0.019894,            0.012531,            0.012572,             0.96208,             0.96397,             0.98801,             0.64257,           0.0078327,           0.0036254,           0.0014889,            0.004159,            0.004159,            0.004159
                  61,            0.019342,            0.013569,            0.013591,              0.9862,             0.99306,             0.99316,             0.63806,            0.007786,           0.0035903,          0.00069092,             0.00406,             0.00406,             0.00406
                  62,            0.019052,            0.012624,            0.013081,             0.98597,             0.99306,             0.99226,             0.62875,           0.0079544,           0.0037414,          0.00059427,            0.003961,            0.003961,            0.003961
                  63,            0.019017,            0.012826,            0.011333,              0.9888,             0.99306,             0.99401,             0.63759,           0.0077988,           0.0037346,          0.00051867,            0.003862,            0.003862,            0.003862
                  64,            0.019598,            0.013468,            0.013509,             0.99103,             0.99295,             0.99486,              0.6305,            0.008112,           0.0037769,          0.00035553,            0.003763,            0.003763,            0.003763
                  65,            0.019621,            0.012734,            0.013267,             0.98925,             0.99306,             0.99426,             0.65239,           0.0077049,           0.0035427,          0.00062614,            0.003664,            0.003664,            0.003664
                  66,            0.019133,            0.013241,            0.013438,             0.98916,             0.98497,             0.99302,             0.63027,           0.0078254,           0.0036698,          0.00047791,            0.003565,            0.003565,            0.003565
                  67,            0.019784,            0.013034,            0.012313,             0.98928,             0.99306,             0.99321,              0.6377,            0.007822,           0.0035872,          0.00055025,            0.003466,            0.003466,            0.003466
                  68,            0.019852,            0.012991,            0.013378,             0.98537,             0.99306,             0.99049,             0.62523,           0.0078217,           0.0037132,          0.00063545,            0.003367,            0.003367,            0.003367
                  69,            0.019556,            0.012777,            0.012388,             0.98779,             0.99306,             0.99143,             0.64733,            0.007562,           0.0035595,          0.00059446,            0.003268,            0.003268,            0.003268
                  70,            0.020337,            0.013157,            0.013168,             0.98612,             0.99306,             0.99082,             0.64514,           0.0076258,           0.0035298,          0.00073793,            0.003169,            0.003169,            0.003169
                  71,            0.018881,            0.012117,            0.011858,             0.98569,             0.99306,             0.99197,             0.64667,           0.0080707,           0.0035027,          0.00063044,             0.00307,             0.00307,             0.00307
                  72,            0.019533,            0.013102,            0.012646,             0.95988,             0.98798,             0.99164,             0.63974,           0.0079751,           0.0035875,           0.0011654,            0.002971,            0.002971,            0.002971
                  73,            0.020477,             0.01303,            0.013206,             0.98487,             0.99306,             0.99287,               0.641,           0.0079342,           0.0035782,          0.00076981,            0.002872,            0.002872,            0.002872
                  74,            0.017629,            0.012498,           0.0098284,             0.98505,             0.99232,             0.99158,             0.64665,           0.0077574,            0.003576,          0.00070616,            0.002773,            0.002773,            0.002773
                  75,             0.01929,            0.012826,            0.011904,             0.98924,             0.99306,             0.99108,             0.64208,           0.0078024,           0.0036531,          0.00058081,            0.002674,            0.002674,            0.002674
                  76,            0.017863,             0.01235,            0.011669,             0.98666,             0.99306,             0.99291,             0.63779,           0.0076807,            0.003671,          0.00053392,            0.002575,            0.002575,            0.002575
                  77,            0.017218,            0.011623,            0.010335,             0.98555,             0.99306,             0.99065,             0.65113,            0.007475,           0.0036091,           0.0006478,            0.002476,            0.002476,            0.002476
                  78,            0.018419,            0.011937,            0.011604,             0.98707,             0.99306,             0.99146,             0.65827,           0.0074662,             0.00349,          0.00055613,            0.002377,            0.002377,            0.002377
                  79,            0.018908,            0.012835,            0.012161,             0.98786,             0.99306,             0.99138,             0.63676,           0.0077574,           0.0035314,            0.000579,            0.002278,            0.002278,            0.002278
                  80,             0.02018,            0.013244,            0.014202,             0.98802,             0.99306,             0.99254,             0.62559,            0.007815,           0.0036038,          0.00061512,            0.002179,            0.002179,            0.002179
                  81,            0.019532,             0.01307,            0.011756,             0.98823,              0.9929,             0.99333,             0.65222,           0.0075136,           0.0035046,          0.00053255,             0.00208,             0.00208,             0.00208
                  82,            0.017648,            0.011968,            0.010574,             0.98507,             0.99306,             0.99143,             0.65594,           0.0074551,           0.0035084,          0.00059331,            0.001981,            0.001981,            0.001981
                  83,            0.018603,            0.012312,            0.011519,             0.98673,             0.99306,             0.99326,             0.66015,           0.0076048,           0.0035432,          0.00048529,            0.001882,            0.001882,            0.001882
                  84,            0.018653,            0.012963,            0.010897,             0.98638,             0.99306,             0.99167,             0.63918,            0.007641,           0.0036063,          0.00058083,            0.001783,            0.001783,            0.001783
                  85,            0.018933,            0.012644,            0.012044,             0.98316,             0.99306,              0.9917,             0.66262,           0.0075294,           0.0035313,          0.00067095,            0.001684,            0.001684,            0.001684
                  86,            0.017453,            0.012505,            0.010352,             0.98549,             0.99306,             0.99235,             0.66408,           0.0074562,           0.0034576,          0.00050095,            0.001585,            0.001585,            0.001585
                  87,            0.018259,            0.012342,             0.01233,             0.98594,             0.99306,             0.99261,             0.65114,           0.0074769,           0.0034451,           0.0004504,            0.001486,            0.001486,            0.001486
                  88,            0.019105,            0.013046,            0.011521,             0.98596,             0.99306,             0.99127,              0.6571,           0.0074621,           0.0034971,          0.00056721,            0.001387,            0.001387,            0.001387
                  89,            0.017175,            0.012914,            0.010481,             0.98714,             0.99152,             0.99184,             0.64451,           0.0075219,           0.0036799,          0.00059412,            0.001288,            0.001288,            0.001288
                  90,            0.018428,            0.012392,             0.01129,             0.98635,             0.99253,             0.99217,             0.66278,           0.0074828,           0.0035116,          0.00060757,            0.001189,            0.001189,            0.001189
                  91,            0.018541,             0.01208,            0.011467,             0.98832,             0.99306,             0.99291,             0.65985,           0.0074793,           0.0035075,           0.0005435,             0.00109,             0.00109,             0.00109
                  92,            0.018358,            0.013299,            0.011383,             0.98824,             0.99306,             0.99254,             0.65465,           0.0075482,           0.0035453,          0.00053404,            0.000991,            0.000991,            0.000991
                  93,            0.016946,            0.012402,            0.010205,             0.98719,             0.99306,             0.99224,             0.64798,           0.0075812,           0.0035386,          0.00059349,            0.000892,            0.000892,            0.000892
                  94,            0.016957,            0.012314,            0.010094,             0.98782,             0.99306,             0.99278,               0.648,           0.0076285,           0.0035725,          0.00058931,            0.000793,            0.000793,            0.000793
                  95,            0.017596,            0.012599,            0.010273,             0.98818,             0.99306,             0.99297,             0.65509,           0.0075498,           0.0035849,          0.00056125,            0.000694,            0.000694,            0.000694
                  96,            0.016777,             0.01158,           0.0097239,             0.98838,             0.99306,             0.99266,             0.66189,           0.0074617,           0.0035598,          0.00058029,            0.000595,            0.000595,            0.000595
                  97,            0.019679,            0.013137,            0.010849,              0.9886,             0.99306,             0.99249,             0.66551,           0.0074935,            0.003512,          0.00060521,            0.000496,            0.000496,            0.000496
                  98,            0.017435,            0.012058,           0.0092665,             0.98874,             0.99306,             0.99272,             0.66484,           0.0074759,           0.0035225,          0.00058624,            0.000397,            0.000397,            0.000397
                  99,            0.016816,            0.012808,            0.010524,             0.98875,             0.99306,             0.99278,             0.65547,           0.0075162,           0.0035207,          0.00058898,            0.000298,            0.000298,            0.000298
